epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8152,1.81827,1.85747,1.31521,0.57376,0.21518,0.23796,0.13787,1.43996,1.04729,1.08682,0.000471663,0.000471663,0.000471663
2,58.5917,1.46587,1.04455,1.12595,0.89255,0.21761,0.21831,0.13696,1.36829,1.10667,1.08646,0.000938612,0.000938612,0.000938612
3,83.8192,1.44669,0.99829,1.12148,0.91844,0.23093,0.26628,0.16573,1.39221,1.11047,1.08015,0.00139613,0.00139613,0.00139613
4,109.133,1.38613,0.94135,1.09269,0.93219,0.25665,0.31254,0.19154,1.31915,0.87818,1.04652,0.00138656,0.00138656,0.00138656
5,134.664,1.34959,0.9098,1.08378,0.93004,0.25985,0.31971,0.20788,1.27471,0.95137,1.04761,0.00137241,0.00137241,0.00137241
6,160.084,1.30161,0.87111,1.06152,0.74316,0.35069,0.35931,0.2323,1.24333,0.84632,1.02571,0.00135826,0.00135826,0.00135826
7,185.288,1.25335,0.80576,1.04263,0.78891,0.35136,0.35253,0.23984,1.19292,0.8306,1.00762,0.00134412,0.00134412,0.00134412
8,210.579,1.26651,0.82149,1.04901,0.90393,0.30643,0.36964,0.24597,1.19031,0.80667,0.99817,0.00132997,0.00132997,0.00132997
9,235.812,1.24403,0.80928,1.04029,0.93698,0.30527,0.39804,0.2708,1.16197,0.77246,0.98752,0.00131582,0.00131582,0.00131582
10,261.019,1.22109,0.80135,1.03247,0.74833,0.37711,0.42964,0.292,1.14271,0.73728,0.98884,0.00130168,0.00130168,0.00130168
11,286.158,1.20565,0.76938,1.02536,0.84378,0.4118,0.48309,0.33067,1.15966,0.74037,0.98029,0.00128753,0.00128753,0.00128753
12,311.232,1.20284,0.75203,1.01584,0.75004,0.48152,0.49408,0.32717,1.11372,0.69664,0.97174,0.00127338,0.00127338,0.00127338
13,336.267,1.17001,0.73195,1.00521,0.61032,0.4833,0.45357,0.31413,1.11081,0.68394,0.97681,0.00125923,0.00125923,0.00125923
14,361.415,1.16262,0.73459,1.00518,0.89863,0.41939,0.49737,0.35086,1.09491,0.68866,0.96369,0.00124509,0.00124509,0.00124509
15,386.547,1.15782,0.72277,1.00173,0.83755,0.48149,0.54701,0.3812,1.08434,0.67607,0.95908,0.00123094,0.00123094,0.00123094
16,411.761,1.12031,0.69636,0.98546,0.7088,0.50499,0.5566,0.39898,1.07593,0.65709,0.95468,0.00121679,0.00121679,0.00121679
17,436.657,1.13755,0.70857,0.98786,0.77192,0.46398,0.57639,0.3807,1.06461,0.669,0.94775,0.00120265,0.00120265,0.00120265
18,461.744,1.11062,0.68806,0.98699,0.70686,0.55472,0.58959,0.39191,1.05496,0.65493,0.94194,0.0011885,0.0011885,0.0011885
19,486.958,1.11906,0.70272,0.98483,0.67848,0.50944,0.57781,0.3905,1.04506,0.67501,0.93906,0.00117435,0.00117435,0.00117435
20,512.023,1.08129,0.66348,0.97423,0.81564,0.57515,0.66889,0.47065,1.03984,0.63524,0.9365,0.00116021,0.00116021,0.00116021
21,536.996,1.08544,0.67752,0.97093,0.75984,0.59188,0.63045,0.42188,1.03368,0.63042,0.93552,0.00114606,0.00114606,0.00114606
22,561.981,1.06989,0.6646,0.96732,0.89189,0.5725,0.66788,0.46983,1.00818,0.63597,0.93477,0.00113191,0.00113191,0.00113191
23,586.796,1.07322,0.66107,0.96982,0.66679,0.73194,0.74039,0.48748,1.05066,0.62987,0.93955,0.00111776,0.00111776,0.00111776
24,611.967,1.06636,0.65488,0.96395,0.67558,0.67332,0.67693,0.46395,1.0078,0.61381,0.9274,0.00110362,0.00110362,0.00110362
25,636.856,1.05918,0.657,0.96467,0.81053,0.6543,0.71406,0.4812,1.02971,0.60011,0.93464,0.00108947,0.00108947,0.00108947
26,661.657,1.05594,0.64553,0.96492,0.84843,0.66138,0.72192,0.5065,0.98463,0.56815,0.92603,0.00107532,0.00107532,0.00107532
27,686.728,1.03127,0.62594,0.95527,0.78071,0.6577,0.71282,0.50588,0.98252,0.57164,0.92685,0.00106118,0.00106118,0.00106118
28,711.713,1.04967,0.63536,0.96013,0.8624,0.68621,0.74904,0.5247,0.98024,0.58279,0.91764,0.00104703,0.00104703,0.00104703
29,736.91,1.02494,0.61912,0.95462,0.89693,0.59226,0.70491,0.49328,0.96321,0.56193,0.91539,0.00103288,0.00103288,0.00103288
30,762.023,1.02002,0.61208,0.94914,0.80222,0.66484,0.72797,0.52463,0.96394,0.56669,0.91446,0.00101873,0.00101873,0.00101873
31,786.992,1.00396,0.61145,0.94889,0.86274,0.61975,0.73402,0.50564,0.98404,0.60463,0.9209,0.00100459,0.00100459,0.00100459
32,812.041,0.99714,0.60006,0.94705,0.8411,0.66422,0.7776,0.55705,0.93538,0.54853,0.90649,0.00099044,0.00099044,0.00099044
33,837.089,0.98614,0.59278,0.942,0.6774,0.70576,0.75718,0.54186,0.93182,0.55102,0.91008,0.000976293,0.000976293,0.000976293
34,862.168,0.96548,0.58064,0.9413,0.89374,0.67346,0.81574,0.58006,0.92132,0.54762,0.90525,0.000962146,0.000962146,0.000962146
35,887.103,0.98088,0.59135,0.93564,0.89667,0.7254,0.78044,0.55985,0.91428,0.53669,0.90017,0.000947999,0.000947999,0.000947999
36,912.026,0.96595,0.57768,0.93585,0.94826,0.75972,0.79844,0.56614,0.89169,0.52211,0.89421,0.000933851,0.000933851,0.000933851
37,937.201,0.96662,0.5865,0.93801,0.89854,0.74285,0.81535,0.60757,0.9075,0.53019,0.90032,0.000919704,0.000919704,0.000919704
38,962.466,0.95034,0.57196,0.93323,0.94198,0.70007,0.79589,0.59469,0.91123,0.53327,0.89499,0.000905557,0.000905557,0.000905557
39,987.409,0.96522,0.57702,0.93516,0.94387,0.76916,0.81726,0.58985,0.89805,0.52975,0.89841,0.00089141,0.00089141,0.00089141
40,1012.26,0.92357,0.55547,0.92282,0.90871,0.74564,0.82752,0.60246,0.88097,0.52349,0.89063,0.000877263,0.000877263,0.000877263
